Customer_ID,Customer_Country,Customer_Gender,Customer_Name,Customer_FirstName,Customer_LastName,Customer_BirthDate,Customer_Age_Group,Customer_Type,Customer_Group,Customer_Age
4,US,M,James Kvarniq,James,Kvarniq,27JUN1978,31-45 years,Orion Club members low activity,Orion Club members,33
5,US,F,Sandrina Stephano,Sandrina,Stephano,09JUL1983,15-30 years,Orion Club Gold members medium activity,Orion Club Gold members,28
9,DE,F,Cornelia Krahl,Cornelia,Krahl,27FEB1978,31-45 years,Orion Club Gold members medium activity,Orion Club Gold members,33
10,US,F,Karen Ballinger,Karen,Ballinger,18OCT1988,15-30 years,Orion  Club members high activity,Orion Club members,23
11,DE,F,Elke Wallstab,Elke,Wallstab,16AUG1978,31-45 years,Orion  Club members high activity,Orion Club members,33
12,US,M,David Black,David,Black,12APR1973,31-45 years,Orion  Club members medium activity,Orion Club members,38
13,DE,M,Markus Sepke,Markus,Sepke,21JUL1992,15-30 years,Orion Club Gold members low activity,Orion Club Gold members,19
16,DE,M,Ulrich Heyde,Ulrich,Heyde,16JAN1943,61-75 years,Internet/Catalog Customers,Internet/Catalog Customers,68
17,US,M,Jimmie Evans,Jimmie,Evans,17AUG1958,46-60 years,Orion  Club members medium activity,Orion Club members,53
18,US,M,Tonie Asmussen,Tonie,Asmussen,02FEB1958,46-60 years,Orion Club members low activity,Orion Club members,53
19,DE,M,Oliver S. Füßling,Oliver S.,Füßling,23FEB1968,31-45 years,Orion Club Gold members high activity,Orion Club Gold members,43
20,US,M,Michael Dineley,Michael,Dineley,17APR1963,46-60 years,Orion  Club members medium activity,Orion Club members,48
23,US,M,Tulio Devereaux,Tulio,Devereaux,02DEC1953,46-60 years,Internet/Catalog Customers,Internet/Catalog Customers,58
24,US,F,Robyn Klem,Robyn,Klem,02JUN1963,46-60 years,Internet/Catalog Customers,Internet/Catalog Customers,48
27,US,F,Cynthia Mccluney,Cynthia,Mccluney,15APR1973,31-45 years,Internet/Catalog Customers,Internet/Catalog Customers,38
29,AU,F,Candy Kinsey,Candy,Kinsey,08JUL1938,61-75 years,Internet/Catalog Customers,Internet/Catalog Customers,73
31,US,F,Cynthia Martinez,Cynthia,Martinez,07AUG1963,46-60 years,Orion Club Gold members medium activity,Orion Club Gold members,48
33,DE,M,Rolf Robak,Rolf,Robak,24FEB1943,61-75 years,Orion  Club members medium activity,Orion Club members,68
34,US,M,Alvan Goheen,Alvan,Goheen,18JAN1988,15-30 years,Orion Club members low activity,Orion Club members,23
36,US,M,Phenix Hill,Phenix,Hill,02APR1968,31-45 years,Internet/Catalog Customers,Internet/Catalog Customers,43
39,US,M,Alphone Greenwald,Alphone,Greenwald,25JUL1988,15-30 years,Orion Club Gold members high activity,Orion Club Gold members,23
41,AU,M,Wendell Summersby,Wendell,Summersby,02DEC1968,31-45 years,Orion  Club members medium activity,Orion Club members,43
42,DE,M,Thomas Leitmann,Thomas,Leitmann,09FEB1983,15-30 years,Orion Club members low activity,Orion Club members,28
45,US,F,Dianne Patchin,Dianne,Patchin,06MAY1983,15-30 years,Orion Club Gold members low activity,Orion Club Gold members,28
49,US,F,Annmarie Leveille,Annmarie,Leveille,16JUL1988,15-30 years,Orion Club Gold members high activity,Orion Club Gold members,23
50,DE,M,Gert-Gunter Mendler,Gert-Gunter,Mendler,16JAN1938,61-75 years,Orion Club Gold members high activity,Orion Club Gold members,73
52,US,M,Yan Kozlowski,Yan,Kozlowski,06APR1973,31-45 years,Orion  Club members medium activity,Orion Club members,38
53,AU,F,Dericka Pockran,Dericka,Pockran,20JUN1958,46-60 years,Orion  Club members high activity,Orion Club members,53
56,US,M,Roy Siferd,Roy,Siferd,01FEB1938,61-75 years,Orion  Club members medium activity,Orion Club members,73
60,US,F,Tedi Lanzarone,Tedi,Lanzarone,23MAY1973,31-45 years,Orion  Club members medium activity,Orion Club members,38
61,DE,M,Carsten Maestrini,Carsten,Maestrini,08JUL1948,61-75 years,Orion Club Gold members high activity,Orion Club Gold members,63
63,US,M,James Klisurich,James,Klisurich,25DEC1973,31-45 years,Orion Club Gold members medium activity,Orion Club Gold members,38
65,DE,F,Ines Deisser,Ines,Deisser,20JUL1973,31-45 years,Orion Club members low activity,Orion Club members,38
69,US,F,Patricia Bertolozzi,Patricia,Bertolozzi,13MAY1983,15-30 years,Orion Club members low activity,Orion Club members,28
71,US,F,Viola Folsom,Viola,Folsom,23SEP1973,31-45 years,Orion Club Gold members medium activity,Orion Club Gold members,38
75,US,M,Mikel Spetz,Mikel,Spetz,18JUN1988,15-30 years,Orion Club members low activity,Orion Club members,23
79,US,F,Najma Hicks,Najma,Hicks,22JAN1990,15-30 years,Orion  Club members medium activity,Orion Club members,21
88,US,M,Attila Gibbs,Attila,Gibbs,19FEB1963,46-60 years,Orion  Club members medium activity,Orion Club members,48
89,US,F,Wynella Lewis,Wynella,Lewis,28SEP1938,61-75 years,Orion  Club members high activity,Orion Club members,73
90,US,F,Kyndal Hooks,Kyndal,Hooks,01AUG1968,31-45 years,Orion Club Gold members high activity,Orion Club Gold members,43
92,US,M,Lendon Celii,Lendon,Celii,14SEP1948,61-75 years,Orion Club members low activity,Orion Club members,63
111,AU,F,Karolina Dokter,Karolina,Dokter,28DEC1978,31-45 years,Orion  Club members medium activity,Orion Club members,33
